For M5|Adr    91|KD1       J6      04:51:061    |R         0.28188 m   |HD          9.932 m   |                      | 
For M5|Adr    92|KD1      J6a      04:51:181    |R         0.28188 m   |HD          9.933 m   |                      | 
For M5|Adr    93|KD1       R9      04:52:171    |R         1.29270 m   |HD          7.018 m   |                      | 
For M5|Adr    94|KD1      R9a      04:52:281    |R         1.29270 m   |HD          7.018 m   |                      | 
For M5|Adr    95|KD1       J1      04:52:551    |R         1.19101 m   |HD          9.522 m   |                      | 
For M5|Adr    96|KD1      J1a      04:53:051    |R         1.19100 m   |HD          9.522 m   |                      | 
For M5|Adr    97|TO  Cont-Line              0529|                      |                      |                      | 
For M5|Adr    98|KD1        8      04:54:4510529|Rb        1.11056 m   |HD         13.902 m   |                      | 
For M5|Adr    99|KD1        9      04:54:5710529|Rf        1.61601 m   |HD         13.841 m   |                      | 
For M5|Adr   100|KD1        9      04:54:5910529|Rf        1.61602 m   |HD         13.840 m   |                      | 
For M5|Adr   101|KD1        8      04:55:1110529|Rb        1.11053 m   |HD         13.902 m   |                      | 
For M5|Adr   102|KD1        9      04:55:11 0529|                      |                      |Z       198.20832 m   | 
For M5|Adr   103|KD1        9      04:56:2510529|Rb        0.75736 m   |HD          4.132 m   |                      | 
For M5|Adr   104|KD1       10      04:56:2810529|Rf        0.75736 m   |HD          4.132 m   |                      | 
For M5|Adr   105|KD1       10      04:56:3110529|Rf        0.75736 m   |HD          4.132 m   |                      | 
For M5|Adr   106|KD1        9      04:56:3410529|Rb        0.75737 m   |HD          4.132 m   |                      | 
For M5|Adr   107|KD1       10      04:56:34 0529|                      |                      |Z       198.20833 m   | 
For M5|Adr   108|KD1       10               0529|Sh       -1.79167 m   |                      |                      | 
For M5|Adr   109|KD2       10       10      0529|Db         267.74 m   |Df         267.37 m   |Z       198.20833 m   | 
For M5|Adr   110|TO  End-Line               0529|                      |                      |                      | 
For M5|Adr   111|KD1       J5      04:57:071    |R         0.21359 m   |HD          6.179 m   |                      | 
For M5|Adr   112|KD1      J5a      04:57:181    |R         0.21360 m   |HD          6.178 m   |                      | 
For M5|Adr   113|TO  Cont-Line              0529|                      |                      |                      | 
For M5|Adr   114|KD1       10      04:58:4510529|Rb        0.30857 m   |HD          6.369 m   |                      | 
For M5|Adr   115|KD1       11      04:59:2710529|Rf        1.60006 m   |HD          5.524 m   |                      | 
For M5|Adr   116|KD1       11      04:59:3010529|Rf        1.60011 m   |HD          5.528 m   |                      | 
For M5|Adr   117|KD1       10      04:59:4610529|Rb        0.30860 m   |HD          6.374 m   |                      | 
For M5|Adr   118|KD1       11      04:59:46 0529|                      |                      |Z       196.91682 m   | 
For M5|Adr   119|KD1       11      05:00:3910529|Rb        0.81491 m   |HD          4.704 m   |                      | 
For M5|Adr   120|KD1       12      05:00:4410529|Rf        0.81491 m   |HD          4.705 m   |                      | 
For M5|Adr   121|KD1       12      05:00:4810529|Rf        0.81492 m   |HD          4.706 m   |                      | 
For M5|Adr   122|KD1       11      05:00:5210529|Rb        0.81492 m   |HD          4.705 m   |                      | 
For M5|Adr   123|KD1       12      05:00:52 0529|                      |                      |Z       196.91682 m   | 
For M5|Adr   124|KD1       12               0529|Sh       -3.08318 m   |                      |                      | 
For M5|Adr   125|KD2       12       12      0529|Db         278.82 m   |Df         277.60 m   |Z       196.91682 m   | 
For M5|Adr   126|TO  End-Line               0529|                      |                      |                      | 
For M5|Adr   127|KD1       J2      05:01:211    |R         0.53284 m   |HD          5.575 m   |                      | 
For M5|Adr   128|KD1       J3      05:01:561    |R         1.06645 m   |HD          7.240 m   |                      | 
For M5|Adr   129|KD1       J4      05:02:281    |R         1.46069 m   |HD          5.720 m   |                      | 
For M5|Adr   130|KD1      J2a      05:02:541    |R         0.53282 m   |HD          5.566 m   |                      | 
For M5|Adr   131|KD1      J3a      05:03:191    |R         1.06644 m   |HD          7.232 m   |                      | 
For M5|Adr   132|KD1      J4a      05:03:411    |R         1.46062 m   |HD          5.720 m   |                      | 
For M5|Adr   133|TO  Cont-Line              0529|                      |                      |                      | 
For M5|Adr   134|KD1       12      05:05:1010529|Rb        1.74552 m   |HD          5.731 m   |                      | 
For M5|Adr   135|KD1       13      05:05:2410529|Rf        0.45402 m   |HD          6.163 m   |                      | 
For M5|Adr   136|KD1       13      05:05:2810529|Rf        0.45401 m   |HD          6.163 m   |                      | 
For M5|Adr   137|KD1       12      05:05:4110529|Rb        1.74543 m   |HD          5.736 m   |                      | 
For M5|Adr   138|KD1       13      05:05:41 0529|                      |                      |Z       198.20828 m   | 
For M5|Adr   139|KD1       13      05:06:5110529|Rb        1.64518 m   |HD         13.961 m   |                      | 
For M5|Adr   140|KD1       14      05:07:0310529|Rf        1.13996 m   |HD         13.822 m   |                      | 
For M5|Adr   141|KD1       14      05:07:0610529|Rf        1.13993 m   |HD         13.823 m   |                      | 
For M5|Adr   142|KD1       13      05:07:1810529|Rb        1.64521 m   |HD         13.957 m   |                      | 
For M5|Adr   143|KD1       14      05:07:18 0529|                      |                      |Z       198.71353 m   | 
For M5|Adr   144|KD1       14      05:08:3510529|Rb        1.73245 m   |HD         16.877 m   |                      | 
For M5|Adr   145|KD1       15      05:08:4610529|Rf        1.16624 m   |HD         16.246 m   |                      | 
For M5|Adr   146|KD1       15      05:08:4810529|Rf        1.16622 m   |HD         16.247 m   |                      | 
For M5|Adr   147|KD1       14      05:08:5710529|Rb        1.73224 m   |HD         16.768 m   |                      | 
For M5|Adr   148|KD1       15      05:08:57 0529|                      |                      |Z       199.27965 m   | 
For M5|Adr   149|KD1       15      05:10:4810529|Rb        0.72052 m   |HD         47.090 m   |                      | 
For M5|Adr   150|KD1       16      05:11:0810529|Rf        0.71321 m   |HD         47.113 m   |                      | 
For M5|Adr   151|KD1       16      05:11:1110529|Rf        0.71317 m   |HD         47.126 m   |                      | 
For M5|Adr   152|KD1       15      05:11:2210529|Rb        0.72031 m   |HD         47.121 m   |                      | 
For M5|Adr   153|KD1       16      05:11:22 0529|                      |                      |Z       199.28687 m   | 
For M5|Adr   154|KD1       16      05:13:3310529|Rb        1.38489 m   |HD         36.434 m   |                      | 
For M5|Adr   155|KD1       17      05:13:4510529|Rf        1.39620 m   |HD         36.911 m   |                      | 
For M5|Adr   156|KD1       17      05:13:4810529|Rf        1.39615 m   |HD         36.892 m   |                      | 
For M5|Adr   157|KD1       16      05:14:0110529|Rb        1.38493 m   |HD         36.417 m   |                      | 
For M5|Adr   158|KD1       17      05:14:01 0529|                      |                      |Z       199.27561 m   | 
For M5|Adr   159|KD1       17      05:15:5210529|Rb        1.22003 m   |HD         37.700 m   |                      | 
For M5|Adr   160|KD1       18      05:16:2410529|Rf        1.19076 m   |HD         37.351 m   |                      | 
For M5|Adr   161|KD1       18      05:16:2710529|Rf        1.19081 m   |HD         37.335 m   |                      | 
For M5|Adr   162|KD1       17      05:16:3910529|Rb        1.21979 m   |HD         37.716 m   |                      | 
For M5|Adr   163|KD1       18      05:16:39 0529|                      |                      |Z       199.30473 m   | 
For M5|Adr   164|KD1       18      05:18:4410529|Rb        1.32759 m   |HD         49.341 m   |                      | 
For M5|Adr   165|KD1       19      05:19:2810529|Rf        0.63179 m   |HD         49.672 m   |                      | 
For M5|Adr   166|KD1       19      05:19:3110529|Rf        0.63172 m   |HD         49.636 m   |                      | 
For M5|Adr   167|KD1       18      05:19:4410529|Rb        1.32767 m   |HD         49.329 m   |                      | 
For M5|Adr   168|KD1       19      05:19:44 0529|                      |                      |Z       200.00061 m   | 
For M5|Adr   169|KD1        A               0529|Sh        0.00061 m   |dz       -0.00061 m   |Z       200.00000 m   | 
For M5|Adr   170|KD2        A       19      0529|Db         485.90 m   |Df         484.85 m   |Z       200.00061 m   | 
For M5|Adr   171|TO  End-Line               0529|                      |                      |                      | 
